analysis,go_id,term,foreground_overlap,foreground_total,universe_term_genes,universe_total,odds_ratio,p_value,overlap_symbols,fdr
OSD-255 discovery panel vs transcriptome,GO:0009628,response to abiotic stimulus,51,312,1116,15501,2.5914197830662133,2.6439257431033827e-08,Abca7;Acadm;Actb;Adrb1;Aqp1;Bnip3;Cabp5;Cacna2d4;Calr;Cartpt;Casp7;Clcn7;Cpt1a;Cst3;Fam162a;Frmpd1;Gpr88;Guca1a;Guca1b;Higd1a;Hk2;Hsp90aa1;Hsp90b1;Hspa8;Hspb6;Lgmn;Map1b;Mylk;Noc2l;Npepps;Pcare;Pcp2;Pde8b;Pdzd8;Per1;Per3;Pgk1;Rab11b;Rad54b;Rcvrn;Rnf4;Rpain;Sik1;Slc4a10;Slc7a5;Sprtn;Stc1;Vac14;Vgf;Vldlr;Xbp1,3.93151757999473e-05
OSD-255 discovery panel vs transcriptome,GO:0008104,intracellular protein localization,64,312,1620,15501,2.2610498382950492,8.733816439685422e-08,Abca7;Acd;Actb;Actg1;Ahi1;Akap11;Calr;Camk2a;Cfap70;Clip1;Creld2;Ctnna1;Dchs1;Dlg1;Doc2b;Ehd4;Fgf13;Frmpd1;Gak;Gckr;Grip1;H2ac6;Hcn1;Hk2;Hltf;Hsp90aa1;Hsp90b1;Hspa5;Hspa8;Ipo4;Kif1b;Lrp4;Map1a;Mapre1;Mfn2;Mylk;Nphp4;Nptx1;Nptxr;Nudcd3;Ogt;Pacrg;Pacs1;Pak2;Pals1;Pcare;Pom121;Ppp2r2b;Prpf19;Rab11b;Ranbp2;Rpain;Rrs1;Sesn2;Snord32a;Stxbp1;Sv2a;Syt1;Tnks;Vgf;Vldlr;Vps53;Zdhhc3;Zdhhc5,6.49359252290611e-05
OSD-255 discovery panel vs transcriptome,GO:0033036,macromolecule localization,70,312,1976,15501,2.015839497714915,1.2341358986548934e-06,Abca7;Acd;Actb;Actg1;Ahi1;Akap11;Atp10a;Calr;Camk2a;Cfap70;Clip1;Creld2;Ctnna1;Dchs1;Dlg1;Doc2b;Drd4;Ehd4;Fabp12;Fgf13;Frmpd1;Gak;Gckr;Grip1;H2ac6;Hcn1;Hk2;Hltf;Hsp90aa1;Hsp90b1;Hspa5;Hspa8;Ipo4;Kif1b;Lrp4;Map1a;Mapre1;Mfn2;Mylk;Nol6;Nphp4;Nptx1;Nptxr;Nudcd3;Ogt;Pacrg;Pacs1;Pak2;Pals1;Pcare;Pdzd8;Pitpnm3;Pom121;Ppp2r2b;Prpf19;Rab11b;Ranbp2;Rpain;Rrs1;Sesn2;Snord32a;Stxbp1;Sv2a;Syt1;Tnks;Vgf;Vldlr;Vps53;Zdhhc3;Zdhhc5,0.000590524914079566
OSD-255 discovery panel vs transcriptome,GO:1990778,protein localization to cell periphery,19,312,266,15501,3.9228143869782097,1.939728624215469e-06,Camk2a;Clip1;Dchs1;Dlg1;Ehd4;Fgf13;Gak;Grip1;Hsp90b1;Kif1b;Mylk;Nptx1;Nptxr;Pacs1;Pals1;Sesn2;Stxbp1;Zdhhc3;Zdhhc5,0.000590524914079566
OSD-255 discovery panel vs transcriptome,GO:0031667,response to nutrient levels,28,312,516,15501,2.9700704225352115,1.985625131404055e-06,Acadm;Adrb1;Bnip3;Cartpt;Cpt1a;Cst3;Eef2;Eif4g1;Fasn;Higd1a;Hnrnpa1;Hsp90aa1;Hspa5;Hspa8;Map1b;Mybbp1a;Ogt;Pak2;Pdia3;Pnpla3;Prox1;Sesn2;Sik2;Slc7a5;Stc1;Vgf;Xbp1;Zdhhc3,0.000590524914079566
OSD-255 discovery panel vs transcriptome,GO:1901698,response to nitrogen compound,38,312,882,15501,2.3571712733939876,7.710596734106726e-06,Actb;Aqp1;Atp5f1a;Camk2a;Cartpt;Casp7;Cpt1a;Ctnna1;Ddx21;Drd4;Eef2;Eprs1;Hcn1;Hdac5;Hdac9;Hsp90aa1;Hsp90b1;Lgmn;Lynx1;Map1b;Ncam1;Nr4a3;Ogt;Per1;Prnp;Ranbp2;Rapgef1;Rnf4;Sesn2;Sik2;Slc3a2;Slc7a5;Stc1;Tmbim6;Trpc1;Vgf;Xbp1;Zdhhc5,0.0019109428906027837
OSD-255 discovery panel vs transcriptome,GO:0009416,response to light stimulus,20,312,329,15501,3.298310945604469,1.1915432457874016e-05,Abca7;Aqp1;Cabp5;Cacna2d4;Casp7;Frmpd1;Gpr88;Guca1a;Guca1b;Noc2l;Pcare;Pcp2;Pde8b;Per1;Per3;Rcvrn;Rpain;Sik1;Slc4a10;Sprtn,0.002484480814425234
OSD-255 discovery panel vs transcriptome,GO:0006457,protein folding,14,312,179,15501,4.277730323367908,1.6031902666657874e-05,Calr;Cox14;Creld2;Dnajb2;Hsp90aa1;Hsp90b1;Hspa5;Hspa8;Hspb6;Nktr;Nudcd3;Pdia3;Ranbp2;St13,0.002484480814425234
OSD-255 discovery panel vs transcriptome,GO:0009583,detection of light stimulus,8,312,57,15501,8.131041890440386,1.726312606198077e-05,Cabp5;Cacna2d4;Gpr88;Guca1a;Guca1b;Pcare;Pcp2;Rcvrn,0.002484480814425234
OSD-255 discovery panel vs transcriptome,GO:0071248,cellular response to metal ion,14,312,181,15501,4.225937386971024,1.817495182473638e-05,Adcy1;Aqp1;Bnip3;Calr;Guca1a;Hnrnpa1;Hsp90b1;Hspa8;Itpkc;Lgmn;Mylk;Nptx1;Prnp;Syt1,0.002484480814425234
OSD-255 discovery panel vs transcriptome,GO:1901701,cellular response to oxygen-containing compound,40,312,990,15501,2.2041795665634676,1.964262637488929e-05,Actb;Adcy1;Aqp1;Atp5f1a;Bnip3;Camk2a;Cartpt;Casp7;Cpt1a;Cst3;Ctnna1;Drd4;Eprs1;Grip1;Hcn1;Hdac9;Hsp90aa1;Hsp90b1;Hspa8;Lgmn;Lynx1;Map1b;Ncam1;Nptx1;Nr4a3;Ogt;Pdia3;Ppef2;Prnp;Prpf8;Rab11b;Rapgef1;Rnf4;Sesn2;Sik2;Slc7a5;Snrnp70;Stc1;Trpc1;Xbp1,0.002484480814425234
OSD-255 discovery panel vs transcriptome,GO:0032879,regulation of localization,68,312,2059,15501,1.8473787782727191,2.0049609800338135e-05,Abca7;Abr;Acd;Actb;Actg1;Adrb1;Ahi1;Aqp1;Calr;Camk2a;Cartpt;Cbarp;Ckmt1;Cpsf6;Cpt1a;Ctnna1;Dclk1;Dlg1;Dnajb2;Doc2b;Drd4;Ehd4;Eif4g1;Eprs1;Fgf13;Gnaz;Gramd2a;Grip1;Hcls1;Hcn1;Hk2;Hsp90aa1;Hspa8;Iqsec1;Lrp4;Map1a;Map1b;Mapre1;Mfn2;Mylk;Ncdn;Nr4a3;Ogt;Pde8b;Per1;Pla2r1;Prnp;Pros1;Rab11b;Ranbp2;Rapgef1;Rcvrn;Rnf4;Sesn2;Sik1;Slc7a5;Stc1;Stxbp1;Sv2a;Syt1;Tmbim6;Trpc1;Vac14;Vtn;Wnk2;Xbp1;Zdhhc3;Zdhhc5,0.002484480814425234
OSD-255 discovery panel vs transcriptome,GO:0009914,hormone transport,10,312,97,15501,5.747887645581183,2.528667437321233e-05,Aqp1;Cartpt;Crym;Dio2;Rab11b;Slc3a2;Slc7a5;Slc7a8;Snord32a;Vgf,0.0028924065225359027
OSD-255 discovery panel vs transcriptome,GO:0070327,thyroid hormone transport,4,312,10,15501,32.86363636363637,3.0724516232202655e-05,Crym;Slc3a2;Slc7a5;Slc7a8,0.003263382545520382
OSD-255 discovery panel vs transcriptome,GO:0007602,phototransduction,6,312,33,15501,11.010893246187363,4.4380522405045694e-05,Cabp5;Gpr88;Guca1a;Guca1b;Pcp2;Rcvrn,0.0043995891210868625
OSD-255 discovery panel vs transcriptome,GO:0042026,protein refolding,5,312,22,15501,14.535351599923358,6.357783539551511e-05,Dnajb2;Hsp90aa1;Hspa5;Hspa8;Hspb6,0.0055770914790067554
OSD-255 discovery panel vs transcriptome,GO:0010662,regulation of striated muscle cell apoptotic process,8,312,68,15501,6.635526315789473,6.375962013659371e-05,Adrb1;Bnip3;Camk2a;Hsp90aa1;Hspa8;Hspb6;Mfn2;Trip10,0.0055770914790067554
OSD-255 discovery panel vs transcriptome,GO:0051604,protein maturation,24,312,501,15501,2.570230607966457,8.111391625344198e-05,Calr;Casp7;Cox14;Creld2;Dnajb2;Dohh;Hsp90aa1;Hsp90b1;Hspa5;Hspa8;Hspb6;Lgmn;Nktr;Nudcd3;Ogt;Pak2;Pdia3;Pgk1;Pigt;Ranbp2;Rnf123;Sprtn;St13;Zdhhc5,0.006393495372023574
OSD-255 discovery panel vs transcriptome,GO:0051128,regulation of cellular component organization,78,312,2569,15501,1.6991837280877826,8.169227442397304e-05,Abca7;Abr;Acd;Actb;Actg1;Adgrb2;Adrb1;Ahi1;Aqp1;Atp10a;Bnip3;Calr;Casp7;Cdh4;Cdk2ap2;Ckmt1;Clip1;Cst3;Dclk1;Dlg1;Dnajb2;Doc2b;Dpf3;Drd4;Ehd4;Eif4g1;Eif4g2;Fam162a;Fgf13;Fhod3;Gak;Grip1;Hcls1;Higd1a;Hnrnpa1;Hsp90aa1;Hspa5;Hspa8;Iqsec1;Kctd10;Lrp4;Map1a;Map1b;Mapre1;Mfn2;Mylk;Ncam1;Ncdn;Nin;Nphp4;Nptxr;Ntm;Ogt;Pak2;Phf23;Pias2;Prdm9;Prnp;Pros1;Prox1;Psd;Rab11b;Rapgef1;Rhoc;Rnf4;Sema6c;Sesn2;Slitrk2;Stxbp1;Syt1;Tnks;Trip10;Vac14;Vldlr;Vtn;Xbp1;Zdhhc5;Zfp207,0.006393495372023574
OSD-255 discovery panel vs transcriptome,GO:0009314,response to radiation,22,312,444,15501,2.6546331099852916,9.914911715770464e-05,Abca7;Aqp1;Cabp5;Cacna2d4;Casp7;Frmpd1;Gpr88;Guca1a;Guca1b;Noc2l;Pcare;Pcp2;Pde8b;Per1;Per3;Rad54b;Rcvrn;Rnf4;Rpain;Sik1;Slc4a10;Sprtn,0.007173276205224044
OSD-255 discovery panel vs transcriptome,GO:1902414,protein localization to cell junction,10,312,114,15501,4.802916454406521,0.00010130383342952583,Actb;Actg1;Dlg1;Grip1;Map1a;Mylk;Nptx1;Nptxr;Pak2;Sv2a,0.007173276205224044
OSD-255 discovery panel vs transcriptome,GO:0072657,protein localization to membrane,19,312,357,15501,2.849213401458085,0.00011826858982437586,Camk2a;Clip1;Dchs1;Dlg1;Ehd4;Fgf13;Gak;Grip1;Hsp90b1;Lrp4;Mylk;Nptx1;Nptxr;Pacs1;Pals1;Sesn2;Stxbp1;Zdhhc3;Zdhhc5,0.007671756859509779
OSD-255 discovery panel vs transcriptome,GO:0051130,positive regulation of cellular component organization,44,312,1224,15501,1.9491398937515811,0.00011866200925939805,Abca7;Abr;Acd;Adgrb2;Ahi1;Aqp1;Atp10a;Bnip3;Calr;Casp7;Cdh4;Clip1;Dlg1;Doc2b;Eif4g1;Eif4g2;Fam162a;Grip1;Hnrnpa1;Hsp90aa1;Hspa5;Hspa8;Iqsec1;Kctd10;Lrp4;Map1b;Mapre1;Mfn2;Nin;Nphp4;Ntm;Pias2;Prdm9;Pros1;Prox1;Rapgef1;Rhoc;Slitrk2;Stxbp1;Syt1;Tnks;Vldlr;Vtn;Zdhhc5,0.007671756859509779
OSD-255 discovery panel vs transcriptome,GO:0042149,cellular response to glucose starvation,7,312,56,15501,7.091334894613583,0.00012457307430433878,Higd1a;Hnrnpa1;Hspa5;Mybbp1a;Sesn2;Slc7a5;Xbp1,0.007718340062106323
OSD-255 discovery panel vs transcriptome,GO:0015801,aromatic amino acid transport,4,312,14,15501,19.712987012987014,0.00013740078597999239,Slc3a2;Slc7a1;Slc7a5;Slc7a8,0.008172598750089946
OSD-255 discovery panel vs transcriptome,GO:0033365,protein localization to organelle,30,312,729,15501,2.205278056798466,0.00016704569258251182,Abca7;Acd;Akap11;Calr;Dlg1;Gak;Gckr;H2ac6;Hk2;Hltf;Hsp90aa1;Hspa5;Hspa8;Ipo4;Mapre1;Nphp4;Nptx1;Nptxr;Nudcd3;Ogt;Pacs1;Pcare;Pom121;Ppp2r2b;Ranbp2;Rpain;Rrs1;Tnks;Vps53;Zdhhc3,0.009553728648853656
OSD-255 discovery panel vs transcriptome,GO:1903332,regulation of protein folding,4,312,15,15501,17.919716646989375,0.00018440443352585477,Dnajb2;Hspa8;Pdia3;Snrnp70,0.009810424837299783
OSD-255 discovery panel vs transcriptome,GO:0065008,regulation of biological quality,84,312,2893,15501,1.6237282419291375,0.00018977265108620632,Abca7;Abr;Adcy1;Adgrb2;Adrb1;Akap11;Aqp1;Arhgap15;Atp10a;Bnip3;Calr;Camk2a;Cartpt;Cdh4;Ckmt1;Cpt1a;Crym;Csdc2;Dclk1;Dio2;Dkk3;Dlg1;Doc2b;Drd4;Eif4g1;Eif4g2;Fgf13;Fgfbp3;Fhod3;Gnaz;Gpr88;Grip1;Hcls1;Hcn1;Hk2;Hnrnpa1;Hsp90aa1;Hsp90b1;Hspa8;Ide;Iqsec1;Lgmn;Lrp4;Manf;Map1a;Map1b;Mfn2;Mylk;Ncdn;Nptx1;Nptxr;Ntm;Ogt;Pde8b;Pdia3;Per3;Prnp;Prss56;Psd;Rab11b;Scn4a;Sema6c;Slc1a7;Slc3a2;Slc4a10;Slc7a5;Slc7a8;Slitrk2;Snord32a;Strip2;Stxbp1;Sv2a;Syt1;Tmbim6;Trpc1;Ubb;Usp47;Vac14;Vgf;Vldlr;Vtn;Xbp1;Zdhhc5;Zfp207,0.009810424837299783
OSD-255 discovery panel vs transcriptome,GO:0051049,regulation of transport,55,312,1682,15501,1.7838804799360979,0.0001913263754416232,Abca7;Abr;Actb;Actg1;Adrb1;Ahi1;Aqp1;Calr;Camk2a;Cartpt;Cbarp;Ckmt1;Cpsf6;Cpt1a;Dlg1;Doc2b;Drd4;Ehd4;Eprs1;Fgf13;Gnaz;Gramd2a;Grip1;Hcls1;Hcn1;Hk2;Hsp90aa1;Hspa8;Iqsec1;Map1b;Mfn2;Mylk;Ncdn;Nr4a3;Pde8b;Per1;Pla2r1;Prnp;Pros1;Rab11b;Ranbp2;Rapgef1;Rcvrn;Sik1;Slc7a5;Stc1;Stxbp1;Sv2a;Syt1;Tmbim6;Trpc1;Vac14;Vtn;Wnk2;Xbp1,0.009810424837299783
OSD-255 discovery panel vs transcriptome,GO:0051668,localization within membrane,25,312,571,15501,2.336122066087223,0.00023494818199504822,Camk2a;Clip1;Dchs1;Dlg1;Ehd4;Fgf13;Frmpd1;Gak;Grip1;Hsp90b1;Hspa5;Lrp4;Mylk;Nptx1;Nptxr;Pacs1;Pals1;Rab11b;Sesn2;Srp9;Stxbp1;Syt1;Vps53;Zdhhc3;Zdhhc5,0.011645598220887891
OSD-255 discovery panel vs transcriptome,GO:0072659,protein localization to plasma membrane,13,312,203,15501,3.4322654462242563,0.0002447080307842751,Dchs1;Dlg1;Ehd4;Fgf13;Gak;Grip1;Hsp90b1;Pacs1;Pals1;Sesn2;Stxbp1;Zdhhc3;Zdhhc5,0.01173809167020055
OSD-255 discovery panel vs transcriptome,GO:0010665,regulation of cardiac muscle cell apoptotic process,7,312,64,15501,6.09283865401208,0.00029090732545859147,Adrb1;Bnip3;Camk2a;Hspa8;Hspb6;Mfn2;Trip10,0.013274621592376632
OSD-255 discovery panel vs transcriptome,GO:1901700,response to oxygen-containing compound,49,312,1471,15501,1.8037653815918242,0.0002945948302275917,Abr;Actb;Adcy1;Aqp1;Atp5f1a;Bnip3;Calr;Camk2a;Cartpt;Casp7;Cpt1a;Cst3;Ctnna1;Drd4;Eef2;Eprs1;Gckr;Grip1;Hcn1;Hdac5;Hdac9;Hsp90aa1;Hsp90b1;Hspa8;Lgmn;Lynx1;Map1b;Ncam1;Nptx1;Nr4a3;Ogt;Pdia3;Per1;Ppef2;Prnp;Prpf8;Rab11b;Rapgef1;Rnf4;Sesn2;Sik2;Slc7a5;Snrnp70;Stc1;Tmbim6;Trpc1;Vgf;Xbp1;Zdhhc5,0.013274621592376632
OSD-255 discovery panel vs transcriptome,GO:0048666,neuron development,35,312,941,15501,1.9919549573242163,0.00033319209946338203,Actb;Actg1;Adcy1;Ahi1;Camk2a;Cdh4;Ctnna1;Dclk1;Dscaml1;Grip1;Hcn1;Iqsec1;Lrp4;Map1a;Map1b;Map4;Ncam1;Ncdn;Nin;Nphp4;Nptx1;Nptxr;Nr4a3;Pak2;Pals1;Pcare;Pdzd8;Psd;Sema6c;Slc4a10;Slitrk2;Stxbp1;Ubb;Unc5a;Vldlr,0.014572254467707326
OSD-255 discovery panel vs transcriptome,GO:0010660,regulation of muscle cell apoptotic process,9,312,111,15501,4.39341875364007,0.0004046834055072714,Adrb1;Bnip3;Camk2a;Hsp90aa1;Hspa8;Hspb6;Mfn2;Slc7a5;Trip10,0.01719326354255179
OSD-255 discovery panel vs transcriptome,GO:0030100,regulation of endocytosis,17,312,332,15501,2.7210976594027443,0.00041967142627406773,Abca7;Abr;Actb;Actg1;Ahi1;Calr;Drd4;Ehd4;Hspa8;Iqsec1;Mylk;Ncdn;Pros1;Rapgef1;Syt1;Vac14;Vtn,0.017334761413042743
OSD-255 discovery panel vs transcriptome,GO:0010038,response to metal ion,17,312,337,15501,2.677680084745763,0.0004975249742932173,Adcy1;Aqp1;Bnip3;Calr;Guca1a;Hcn1;Hnrnpa1;Hsp90b1;Hspa8;Itpkc;Lgmn;Mylk;Ncam1;Nptx1;Prnp;Syt1;Trpc1,0.0199951253182166
OSD-255 discovery panel vs transcriptome,GO:0070887,cellular response to chemical stimulus,54,312,1720,15501,1.6989167760127306,0.0005975134478195291,Actb;Adcy1;Aqp1;Atp5f1a;Bnip3;Calr;Camk2a;Cartpt;Casp7;Cpt1a;Cst3;Ctnna1;Cxcl14;Drd4;Eprs1;Fam162a;Grip1;Guca1a;Hcn1;Hdac9;Higd1a;Hnrnpa1;Hsp90aa1;Hsp90b1;Hspa8;Itpkc;Lgmn;Lynx1;Map1b;Mylk;Ncam1;Npepps;Nptx1;Nr4a3;Ogt;Pdia3;Pgk1;Pias2;Pla2r1;Ppef2;Prnp;Prpf8;Rab11b;Rapgef1;Rnf4;Sesn2;Sik2;Slc7a5;Snrnp70;Stc1;Syt1;Trpc1;Vldlr;Xbp1,0.023049680647071462
OSD-255 discovery panel vs transcriptome,GO:1900102,negative regulation of endoplasmic reticulum unfolded protein response,4,312,20,15501,12.315746753246753,0.0006045309651888278,Abca7;Hspa5;Tmbim6;Xbp1,0.023049680647071462
OSD-255 discovery panel vs transcriptome,GO:1901699,cellular response to nitrogen compound,24,312,578,15501,2.201413959085439,0.0006670425231450322,Actb;Aqp1;Atp5f1a;Camk2a;Casp7;Ctnna1;Drd4;Eprs1;Hcn1;Hdac9;Hsp90b1;Lgmn;Lynx1;Map1b;Nr4a3;Prnp;Rapgef1;Rnf4;Sesn2;Sik2;Slc7a5;Stc1;Trpc1;Xbp1,0.024797305797916575
OSD-255 discovery panel vs transcriptome,GO:0015820,L-leucine transport,3,312,10,15501,21.056865464632455,0.000872556717196718,Slc3a2;Slc7a5;Slc7a8,0.030892662820750465
OSD-255 discovery panel vs transcriptome,GO:1990416,cellular response to brain-derived neurotrophic factor stimulus,3,312,10,15501,21.056865464632455,0.000872556717196718,Dlg1;Eef2;Grip1,0.030892662820750465
OSD-255 discovery panel vs transcriptome,GO:0031175,neuron projection development,29,312,772,15501,1.9923716762813348,0.0009370907098517599,Actb;Actg1;Adcy1;Camk2a;Cdh4;Ctnna1;Dclk1;Dscaml1;Grip1;Iqsec1;Lrp4;Map1a;Map1b;Map4;Ncam1;Ncdn;Nin;Nptx1;Nptxr;Nr4a3;Pak2;Pdzd8;Psd;Sema6c;Slitrk2;Stxbp1;Ubb;Unc5a;Vldlr,0.032405904315106204
OSD-255 discovery panel vs transcriptome,GO:0042221,response to chemical,82,312,2965,15501,1.521802470252907,0.0010971085621575057,Abr;Actb;Actg1;Adcy1;Aqp1;Arid5b;Atp5f1a;Bnip3;Calr;Camk2a;Cartpt;Casp7;Commd3;Cpt1a;Cst3;Ctnna1;Cxcl14;Ddx21;Dnajb2;Drd4;Eef2;Eprs1;Fam162a;Fasn;Fgf13;Gckr;Grip1;Guca1a;Hcls1;Hcn1;Hdac5;Hdac9;Higd1a;Hk2;Hnrnpa1;Hsp90aa1;Hsp90b1;Hspa5;Hspa8;Irf7;Itpkc;Lgmn;Lrrc2;Lynx1;Map1b;Mylk;Ncam1;Npepps;Nptx1;Nr4a3;Ogt;Pdia3;Per1;Pfkp;Pgk1;Pias2;Pla2r1;Ppef2;Prnp;Prpf8;Rab11b;Rad54b;Ranbp2;Rapgef1;Rnf4;Sdad1;Sema6c;Sesn2;Sik2;Slc3a2;Slc6a11;Slc7a5;Snrnp70;Stc1;Stxbp1;Syt1;Tmbim6;Trpc1;Vgf;Vldlr;Xbp1;Zdhhc5,0.035883136136259854
OSD-255 discovery panel vs transcriptome,GO:0023061,signal release,11,312,181,15501,3.228630056673832,0.0011159659320667983,Aqp1;Cartpt;Dio2;Doc2b;Rab11b;Snord32a;Stxbp1;Sv2a;Syt1;Vgf;Xbp1,0.035883136136259854
OSD-255 discovery panel vs transcriptome,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,8,312,103,15501,4.181163434903047,0.0011180972882209284,Dlg1;Drd4;Grip1;Hsp90aa1;Mylk;Nptx1;Nptxr;Zdhhc5,0.035883136136259854
OSD-255 discovery panel vs transcriptome,GO:0048667,cell morphogenesis involved in neuron differentiation,20,312,464,15501,2.274620510921881,0.0011880982791732991,Actb;Actg1;Adcy1;Camk2a;Cdh4;Dclk1;Dscaml1;Grip1;Lrp4;Map1a;Map1b;Ncam1;Nin;Nptx1;Nr4a3;Sema6c;Slitrk2;Stxbp1;Unc5a;Vldlr,0.035883136136259854
OSD-255 discovery panel vs transcriptome,GO:0071456,cellular response to hypoxia,9,312,129,15501,3.729950495049505,0.001198755908254478,Aqp1;Bnip3;Fam162a;Higd1a;Hsp90aa1;Npepps;Pgk1;Stc1;Vldlr,0.035883136136259854
OSD-255 discovery panel vs transcriptome,GO:0050877,nervous system process,35,312,1011,15501,1.8400270758122743,0.0012008310752739057,Abca7;Abr;Adcy1;Adrb1;Aqp1;Arr3;Cabp5;Cacna2d4;Cartpt;Crym;Csmd1;Drd4;Eef2;Fgf13;Gpr88;Guca1a;Guca1b;Hcn1;Hsp90aa1;Lgmn;Manf;Map1a;Ncam1;Nr4a3;Pcare;Pde8b;Ppef2;Prnp;Rcvrn;Rs1;Sag;Scn4a;Slc1a7;Slc4a10;Syt1,0.035883136136259854
OSD-255 discovery panel vs transcriptome,GO:0031669,cellular response to nutrient levels,14,312,271,15501,2.729585041652521,0.0012240029546562528,Cartpt;Eif4g1;Higd1a;Hnrnpa1;Hspa5;Mybbp1a;Ogt;Pak2;Pdia3;Sesn2;Sik2;Slc7a5;Xbp1;Zdhhc3,0.035883136136259854
OSD-255 discovery panel vs transcriptome,GO:0034976,response to endoplasmic reticulum stress,13,312,241,15501,2.852974828375286,0.0012306926314386366,Calr;Dnajb2;Eef2;Eif4g1;Hsp90b1;Hspa5;Manf;Pdia3;Pias2;Sesn2;Sik2;Tmbim6;Xbp1,0.035883136136259854
OSD-255 discovery panel vs transcriptome,GO:0007043,cell-cell junction assembly,8,312,105,15501,4.094411285946826,0.0012666911661659995,Actb;Actg1;Cdh4;Ctnna1;Dlg1;Frmpd2;Pak2;Rhoc,0.03622249546324695
OSD-255 discovery panel vs transcriptome,GO:0035418,protein localization to synapse,7,312,83,15501,4.563891285591026,0.0014054313867074546,Dlg1;Grip1;Map1a;Mylk;Nptx1;Nptxr;Sv2a,0.03912944251205391
OSD-255 discovery panel vs transcriptome,GO:0010664,negative regulation of striated muscle cell apoptotic process,5,312,42,15501,6.669601197288494,0.0014780306541896055,Hsp90aa1;Hspa8;Hspb6;Mfn2;Trip10,0.03912944251205391
OSD-255 discovery panel vs transcriptome,GO:0043297,apical junction assembly,5,312,42,15501,6.669601197288494,0.0014780306541896055,Ctnna1;Dlg1;Frmpd2;Pak2;Rhoc,0.03912944251205391
OSD-255 discovery panel vs transcriptome,GO:0007601,visual perception,9,312,133,15501,3.6086713510060684,0.001484736545263932,Arr3;Cabp5;Cacna2d4;Guca1a;Guca1b;Pcare;Rcvrn;Rs1;Slc4a10,0.03912944251205391
OSD-255 discovery panel vs transcriptome,GO:0044087,regulation of cellular component biogenesis,36,312,1065,15501,1.7949042971225757,0.0015479986054907247,Actg1;Adgrb2;Aqp1;Clip1;Dclk1;Dlg1;Dnajb2;Eif4g1;Fhod3;Gak;Hcls1;Hsp90aa1;Hspa5;Hspa8;Iqsec1;Kctd10;Lrp4;Map1b;Mapre1;Mfn2;Ncam1;Nphp4;Nptxr;Ntm;Ogt;Pak2;Phf23;Psd;Rab11b;Rapgef1;Rhoc;Rnf4;Slitrk2;Stxbp1;Vldlr;Zdhhc5,0.03912944251205391
OSD-255 discovery panel vs transcriptome,GO:0015803,branched-chain amino acid transport,3,312,12,15501,16.375404530744337,0.0015525468111709352,Slc3a2;Slc7a5;Slc7a8,0.03912944251205391
OSD-255 discovery panel vs transcriptome,GO:0036498,IRE1-mediated unfolded protein response,3,312,12,15501,16.375404530744337,0.0015525468111709352,Hspa5;Tmbim6;Xbp1,0.03912944251205391
OSD-255 discovery panel vs transcriptome,GO:0071705,nitrogen compound transport,20,312,477,15501,2.207967387068733,0.0016507669223415915,Aqp1;Cartpt;Dio2;Lrrc8b;Nol6;Pom121;Rab11b;Scn4a;Slc16a6;Slc1a7;Slc25a19;Slc3a2;Slc6a11;Slc6a8;Slc7a1;Slc7a5;Slc7a8;Snord32a;Vgf;Xbp1,0.04068375128816835
OSD-255 discovery panel vs transcriptome,GO:0120036,plasma membrane bounded cell projection organization,40,312,1228,15501,1.7331402257872845,0.001687806539019395,Actb;Actg1;Adcy1;Ahi1;Camk2a;Cdh4;Cfap70;Ctnna1;Dclk1;Dscaml1;Ehd4;Grip1;Iqsec1;Kctd10;Lgmn;Lrp4;Map1a;Map1b;Map4;Mapre1;Mtss2;Mylk;Ncam1;Ncdn;Nin;Nptx1;Nptxr;Nr4a3;Nudcd3;Pak2;Pdzd8;Prnp;Psd;Sema6c;Slitrk2;Spata6;Stxbp1;Ubb;Unc5a;Vldlr,0.04068375128816835
OSD-255 discovery panel vs transcriptome,GO:0097242,amyloid-beta clearance,4,312,26,15501,8.95336481700118,0.001696296287738021,Abca7;Ide;Lrp4;Rab11b,0.04068375128816835
OSD-255 discovery panel vs transcriptome,GO:0009582,detection of abiotic stimulus,9,312,137,15501,3.4949721534653464,0.0018231770752329271,Cabp5;Cacna2d4;Cartpt;Gpr88;Guca1a;Guca1b;Pcare;Pcp2;Rcvrn,0.041644269914872245
OSD-255 discovery panel vs transcriptome,GO:0033555,multicellular organismal response to stress,8,312,112,15501,3.8170546558704452,0.0019146534429549111,Adrb1;Drd4;Eif4g1;Hcn1;Hdac5;Hsp90aa1;Ncam1;Pde8b,0.041644269914872245
OSD-255 discovery panel vs transcriptome,GO:0009581,detection of external stimulus,9,312,138,15501,3.4676490904904442,0.0019167529172193025,Cabp5;Cacna2d4;Cartpt;Gpr88;Guca1a;Guca1b;Pcare;Pcp2;Rcvrn,0.041644269914872245
OSD-255 discovery panel vs transcriptome,GO:0036294,cellular response to decreased oxygen levels,9,312,138,15501,3.4676490904904442,0.0019167529172193025,Aqp1;Bnip3;Fam162a;Higd1a;Hsp90aa1;Npepps;Pgk1;Stc1;Vldlr,0.041644269914872245
